ticker,name,market,krx_sector,internal_sector,sector_group,source,asof,is_manual,notes
111770,영원무역,KOSPI,,unknown,unknown,unknown,,false,
112610,씨에스윈드,KOSPI,,unknown,unknown,unknown,,false,
114090,GKL,KOSPI,,unknown,unknown,unknown,,false,
120110,코오롱인더,KOSPI,,unknown,unknown,unknown,,false,
128940,한미약품,KOSPI,,unknown,unknown,unknown,,false,
138930,BNK금융지주,KOSPI,금융업,은행/금융지주,financial,manual,2026-07-02,true,alpha_shortlist
139130,iM금융지주,KOSPI,금융업,은행/금융지주,financial,manual,2026-07-02,true,alpha_shortlist
139480,이마트,KOSPI,,unknown,unknown,unknown,,false,
161390,한국타이어앤테크놀로지,KOSPI,화학,타이어/화학,materials,manual,2026-07-02,true,alpha_shortlist
161890,한국콜마,KOSPI,,unknown,unknown,unknown,,false,
175330,JB금융지주,KOSPI,,financial,financial,name_inference,,false,
178920,PI첨단소재,KOSPI,,industrial,industrial,name_inference,,false,
180640,한진칼,KOSPI,,unknown,unknown,unknown,,false,
181710,NHN,KOSPI,,unknown,unknown,unknown,,false,
185750,종근당,KOSPI,,unknown,unknown,unknown,,false,
192080,더블유게임즈,KOSPI,서비스업,게임/엔터,gaming,manual,2026-07-02,true,top10_confirmed
192400,쿠쿠홀딩스,KOSPI,금융업,지주/소비재지주,holding_company,manual,2026-07-02,true,current_holding
192820,코스맥스,KOSPI,,unknown,unknown,unknown,,false,
195870,해성디에스,KOSPI,,unknown,unknown,unknown,,false,
204320,HL만도,KOSPI,,unknown,unknown,unknown,,false,
207940,삼성바이오로직스,KOSPI,,unknown,unknown,unknown,,false,
214320,이노션,KOSPI,서비스업,광고/미디어,media_advertising,manual,2026-07-02,true,top10_confirmed
229640,LS에코에너지,KOSPI,,energy,energy,name_inference,,false,
241560,두산밥캣,KOSPI,기계,기계/산업재,industrial,manual,2026-07-02,true,alpha_candidate
248070,솔루엠,KOSPI,,unknown,unknown,unknown,,false,
249420,일동제약,KOSPI,,unknown,unknown,unknown,,false,
251270,넷마블,KOSPI,,unknown,unknown,unknown,,false,
259960,크래프톤,KOSPI,,unknown,unknown,unknown,,false,
267250,HD현대,KOSPI,,unknown,unknown,unknown,,false,
267260,HD현대일렉트릭,KOSPI,,unknown,unknown,unknown,,false,
267270,HD건설기계,KOSPI,,unknown,unknown,unknown,,false,
271560,오리온,KOSPI,음식료품,식품/방어소비재,consumer_staples,manual,2026-07-02,true,current_holding
272210,한화시스템,KOSPI,,unknown,unknown,unknown,,false,
278470,에이피알,KOSPI,,unknown,unknown,unknown,,false,
279570,케이뱅크,KOSPI,,unknown,unknown,unknown,,false,
280360,롯데웰푸드,KOSPI,,unknown,unknown,unknown,,false,
281820,케이씨텍,KOSPI,,unknown,unknown,unknown,,false,
282330,BGF리테일,KOSPI,,financial,financial,name_inference,,false,
285130,SK케미칼,KOSPI,,unknown,unknown,unknown,,false,
294870,IPARK현대산업개발,KOSPI,,unknown,unknown,unknown,,false,
298020,효성티앤씨,KOSPI,,unknown,unknown,unknown,,false,
298040,효성중공업,KOSPI,,unknown,unknown,unknown,,false,
298050,HS효성첨단소재,KOSPI,,industrial,industrial,name_inference,,false,
300720,한일시멘트,KOSPI,,industrial,industrial,name_inference,,false,
302440,SK바이오사이언스,KOSPI,,unknown,unknown,unknown,,false,
307950,현대오토에버,KOSPI,,unknown,unknown,unknown,,false,
316140,우리금융지주,KOSPI,,financial,financial,name_inference,,false,
322000,HD현대에너지솔루션,KOSPI,,energy,energy,name_inference,,false,
323410,카카오뱅크,KOSPI,,unknown,unknown,unknown,,false,
326030,SK바이오팜,KOSPI,,unknown,unknown,unknown,,false,
329180,HD현대중공업,KOSPI,,unknown,unknown,unknown,,false,
336260,두산퓨얼셀,KOSPI,,unknown,unknown,unknown,,false,
336370,솔루스첨단소재,KOSPI,,industrial,industrial,name_inference,,false,
352820,하이브,KOSPI,,unknown,unknown,unknown,,false,
353200,대덕전자,KOSPI,,semiconductor,semiconductor,name_inference,,false,
