ticker,period_end,report_date,usable_from_date,roe,roa,operating_margin,gross_profitability,debt_ratio,interest_coverage,per,pbr,pcr,psr,ev_ebitda,dividend_yield,fcf,operating_cash_flow,net_income,earnings_yoy
000480,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.36,,,,8.39,,,,
000590,2026-12-31,2026-06-17,2026-06-17,5.23,,,,,,4.47,0.23,,,,0.67,,,16782.0,
012030,2026-12-31,2026-06-17,2026-06-17,11.02,,,,,,7.36,0.81,,,,,,,259.0,
005830,2026-12-31,2026-06-17,2026-06-17,16.5,,,,,,5.12,0.84,,,,5.02,,,29597.0,
016610,2026-12-31,2026-06-17,2026-06-17,7.38,,,,,,5.27,0.39,,,,5.14,,,2029.0,
000990,2026-12-31,2026-06-17,2026-06-17,12.49,,,,,,25.22,3.15,,,,0.51,,,6285.0,
000300,2026-12-31,2026-06-17,2026-06-17,11.56,,,,,,41.58,4.81,,,,,,,101.0,
001530,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.95,,,,0.42,,,,
015590,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.85,,,,,,,,
000210,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.3,,,,,,,,
000215,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,,,,,
375500,2026-12-31,2026-06-17,2026-06-17,6.94,,,,,,9.72,0.67,,,,1.05,,,8746.0,
37550L,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.66,,,,
37550K,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,3.58,,,,
007340,2026-12-31,2026-06-17,2026-06-17,14.03,,,,,,8.29,1.16,,,,2.22,,,5440.0,
004840,2026-12-31,2026-06-17,2026-06-17,1.11,,,,,,19.48,0.22,,,,1.77,,,232.0,
155660,2026-12-31,2026-06-17,2026-06-17,6.12,,,,,,4.65,0.28,,,,5.75,,,935.0,
069730,2026-12-31,2026-06-17,2026-06-17,13.12,,,,,,3.05,0.4,,,,8.22,,,1713.0,
017860,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.95,,,,0.07,,,,
092780,2026-12-31,2026-06-17,2026-06-17,5.42,,,,,,6.83,0.37,,,,1.9,,,617.0,
017940,2026-12-31,2026-06-17,2026-06-17,5.18,,,,,,4.71,0.24,,,,5.33,,,18124.0,
383220,2026-12-31,2026-06-17,2026-06-17,21.17,,,,,,7.82,1.66,,,,3.25,,,10611.0,
007700,2026-12-31,2026-06-17,2026-06-17,5.44,,,,,,5.23,0.28,,,,2.97,,,3218.0,
114090,2026-12-31,2026-06-17,2026-06-17,10.66,,,,,,15.35,1.64,,,,3.54,,,761.0,
078930,2026-12-31,2026-06-17,2026-06-17,5.43,,,,,,8.64,0.47,,,,4.12,,,8435.0,
006360,2026-12-31,2026-06-17,2026-06-17,1.9,,,,,,27.45,0.52,,,,1.7,,,1073.0,
001250,2026-12-31,2026-06-17,2026-06-17,3.66,,,,,,13.38,0.49,,,,0.78,,,241.0,
007070,2026-12-31,2026-06-17,2026-06-17,1.32,,,,,,45.96,0.61,,,,2.51,,,520.0,
078935,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,5.61,,,,
499790,2026-12-31,2026-06-17,2026-06-17,2.27,,,,,,47.09,1.07,,,,0.76,,,979.0,
012630,2026-12-31,2026-06-17,2026-06-17,10.27,,,,,,3.56,0.37,,,,2.09,,,6057.0,
039570,2026-12-31,2026-06-17,2026-06-17,4.6,,,,,,14.7,0.68,,,,5.73,,,534.0,
089470,2026-12-31,2026-06-17,2026-06-17,9.29,,,,,,3.21,0.3,,,,3.9,,,1279.0,
267270,2026-12-31,2026-06-17,2026-06-17,5.48,,,,,,27.36,1.5,,,,0.35,,,5698.0,
009540,2026-12-31,2026-06-17,2026-06-17,16.32,,,,,,14.15,2.31,,,,2.83,,,30664.0,
267250,2026-12-31,2026-06-17,2026-06-17,9.52,,,,,,19.27,1.83,,,,1.52,,,13623.0,
443060,2026-12-31,2026-06-17,2026-06-17,32.68,,,,,,40.99,13.4,,,,1.6,,,6013.0,
071970,2026-12-31,2026-06-17,2026-06-17,33.77,,,,,,15.47,5.22,,,,,,,4867.0,
322000,2026-12-31,2026-06-17,2026-06-17,9.98,,,,,,42.97,4.29,,,,,,,3721.0,
267260,2026-12-31,2026-06-17,2026-06-17,36.11,,,,,,55.03,19.87,,,,0.63,,,20354.0,
329180,2026-12-31,2026-06-17,2026-06-17,17.64,,,,,,45.03,7.94,,,,0.8,,,15702.0,
097230,2026-12-31,2026-06-17,2026-06-17,7.69,,,,,,41.93,3.22,,,,,,,570.0,
014790,2026-12-31,2026-06-17,2026-06-17,1.92,,,,,,11.92,0.23,,,,,,,234.0,
003580,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.13,,,,,,,,
204320,2026-12-31,2026-06-17,2026-06-17,3.69,,,,,,34.69,1.28,,,,1.01,,,2130.0,
