date,ticker,name,foreign_net_value,institution_net_value,retail_net_value,program_net_value,foreign_5d_sum,institution_5d_sum,foreign_20d_sum,institution_20d_sum,foreign_5d_mcap_pct,institution_5d_mcap_pct,foreign_20d_mcap_pct,institution_20d_mcap_pct,flow_score,flow_signal,source,staleness_days
2026-07-02,100840,SNT에너지,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,103140,풍산,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,103590,일진전기,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-09,105560,KB금융,0.0,0.0,0.0,0.0,-292918462200.0,426229757850.0,-168877574900.0,353344013400.0,-0.47164412564468916,0.6862959745010939,-0.27191907111789426,0.5689386288599337,20.0,DISTRIBUTION,cache_stale,1
2026-07-06,108320,LX세미콘,0.0,0.0,0.0,0.0,267491450.0,140495000.0,8993446725.0,-27386609775.0,0.03920509976891923,0.02059176280974329,1.318131761295865,-4.0139405149635,80.0,ACCUMULATION,cache_stale,2.0
2026-07-02,111770,영원무역,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,112610,씨에스윈드,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,114090,GKL,0.0,0.0,0.0,0.0,-3259979795.0,73759310.0,3167098995.0,-8513720635.0,-0.4844026357874235,0.010959946510300892,0.47060141395069593,-1.2650595940125382,20.0,DISTRIBUTION,cache_stale,2
2026-07-06,114810,한솔아이원스,-20010130.0,-789994095.0,794250885.0,8242990.0,-3090497315.0,580685560.0,-4419617865.0,2536964405.0,-0.8792104806242205,0.16519827660783604,-1.257329792328922,0.7217368166024728,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-02,120110,코오롱인더,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-03,121440,골프존홀딩스,-4211740195.0,7769128845.0,-3172512520.0,-6630.0,-2243311633.0,32136305510.0,-1895494400.0,32141344995.0,-0.7886863527071502,11.298236593312666,-0.6664034291631687,11.300008336919621,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-06,123330,제닉,0.0,0.0,0.0,0.0,-615157025.0,7701448075.0,-3139652290.0,9178461280.0,-0.2997936070200271,3.753261043685056,-1.5300933689374483,4.473075819990603,20.0,DISTRIBUTION,auto_pykrx,0.0
