ticker,name,market,sector,listing_date,is_etf,is_spac,is_managed,is_halted,as_of
465770,STX그린로지스,KOSPI,,,false,false,false,false,2026-07-19
077970,STX엔진,KOSPI,,,false,false,false,false,2026-07-19
002820,SUN&L,KOSPI,,,false,false,false,false,2026-07-19
002170,SYTS,KOSPI,,,false,false,false,false,2026-07-19
084870,TBH글로벌,KOSPI,,,false,false,false,false,2026-07-19
002710,TCC스틸,KOSPI,,,false,false,false,false,2026-07-19
069260,TKG휴켐스,KOSPI,,,false,false,false,false,2026-07-19
007980,TP,KOSPI,,,false,false,false,false,2026-07-19
002900,TYM,KOSPI,,,false,false,false,false,2026-07-19
024070,WISCOM,KOSPI,,,false,false,false,false,2026-07-19
037270,YG PLUS,KOSPI,,,false,false,false,false,2026-07-19
139130,iM금융지주,KOSPI,,,false,false,false,false,2026-07-19
000500,가온전선,KOSPI,,,false,false,false,false,2026-07-19
000860,강남제비스코,KOSPI,,,false,false,false,false,2026-07-19
035250,강원랜드,KOSPI,,,false,false,false,false,2026-07-19
011420,갤럭시아에스엠,KOSPI,,,false,false,false,false,2026-07-19
002100,경농,KOSPI,,,false,false,false,false,2026-07-19
009450,경동나비엔,KOSPI,,,false,false,false,false,2026-07-19
267290,경동도시가스,KOSPI,,,false,false,false,false,2026-07-19
012320,경동인베스트,KOSPI,,,false,false,false,false,2026-07-19
000050,경방,KOSPI,,,false,false,false,false,2026-07-19
214390,경보제약,KOSPI,,,false,false,false,false,2026-07-19
012610,경인양행,KOSPI,,,false,false,false,false,2026-07-19
009140,경인전자,KOSPI,,,false,false,false,false,2026-07-19
013580,계룡건설,KOSPI,,,false,false,false,false,2026-07-19
012200,계양전기,KOSPI,,,false,false,false,false,2026-07-19
012205,계양전기우,KOSPI,,,false,false,false,false,2026-07-19
002140,고려산업,KOSPI,,,false,false,false,false,2026-07-19
010130,고려아연,KOSPI,,,false,false,false,false,2026-07-19
002240,고려제강,KOSPI,,,false,false,false,false,2026-07-19
009290,광동제약,KOSPI,,,false,false,false,false,2026-07-19
017040,광명전기,KOSPI,,,false,false,false,false,2026-07-19
017900,광전자,KOSPI,,,false,false,false,false,2026-07-19
037710,광주신세계,KOSPI,,,false,false,false,false,2026-07-19
030610,교보증권,KOSPI,,,false,false,false,false,2026-07-19
339770,교촌에프앤비,KOSPI,,,false,false,false,false,2026-07-19
007690,국도화학,KOSPI,,,false,false,false,false,2026-07-19
002720,국제약품,KOSPI,,,false,false,false,false,2026-07-19
083420,그린케미칼,KOSPI,,,false,false,false,false,2026-07-19
014530,극동유화,KOSPI,,,false,false,false,false,2026-07-19
014280,금강공업,KOSPI,,,false,false,false,false,2026-07-19
014285,금강공업우,KOSPI,,,false,false,false,false,2026-07-19
008870,금비,KOSPI,,,false,false,false,false,2026-07-19
001570,금양,KOSPI,,,false,false,false,false,2026-07-19
002990,금호건설,KOSPI,,,false,false,false,false,2026-07-19
002995,금호건설우,KOSPI,,,false,false,false,false,2026-07-19
011780,금호석유화학,KOSPI,,,false,false,false,false,2026-07-19
011785,금호석유화학우,KOSPI,,,false,false,false,false,2026-07-19
214330,금호에이치티,KOSPI,,,false,false,false,false,2026-07-19
001210,금호전기,KOSPI,,,false,false,false,false,2026-07-19
073240,금호타이어,KOSPI,,,false,false,false,false,2026-07-19
092440,기신정기,KOSPI,,,false,false,false,false,2026-07-19
000270,기아,KOSPI,,,false,false,false,false,2026-07-19
024110,기업은행,KOSPI,,,false,false,false,false,2026-07-19
013700,까뮤이앤씨,KOSPI,,,false,false,false,false,2026-07-19
004540,깨끗한나라,KOSPI,,,false,false,false,false,2026-07-19
004545,깨끗한나라우,KOSPI,,,false,false,false,false,2026-07-19
001260,남광토건,KOSPI,,,false,false,false,false,2026-07-19
008350,남선알미늄,KOSPI,,,false,false,false,false,2026-07-19
008355,남선알미우,KOSPI,,,false,false,false,false,2026-07-19
004270,남성,KOSPI,,,false,false,false,false,2026-07-19
