ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
001440,대한전선,unknown,True,,50.83,33.11,50.0,20.37,41.74,42.26,42.26,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
353200,대덕전자,unknown,True,,50.83,20.9,50.0,31.36,61.57,39.7,39.7,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
000990,DB하이텍,unknown,True,,50.83,53.05,50.0,28.27,52.17,49.03,49.03,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
062040,산일전기,unknown,True,,50.83,28.75,50.0,27.33,42.11,41.65,41.65,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
058470,리노공업,unknown,True,,50.83,30.44,50.0,24.71,39.13,41.89,41.89,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
028300,HLB,unknown,True,,50.83,33.38,50.0,20.1,20.5,42.31,42.31,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
004170,신세계,unknown,True,,50.83,38.56,50.0,35.3,82.59,54.64,54.64,0.0,C,value_quality,—,True,False,YELLOW,4.0,1.24,2026-06-23
326030,SK바이오팜,unknown,True,,50.83,44.28,50.0,10.0,1.86,44.57,44.57,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
034220,LG디스플레이,unknown,True,,50.83,64.93,50.0,22.87,24.14,52.06,52.06,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
009830,한화솔루션,unknown,True,,50.83,67.16,50.0,19.26,38.39,52.36,52.36,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
032640,LG유플러스,unknown,True,,50.83,80.89,50.0,34.93,33.46,58.05,58.05,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
078930,GS,unknown,True,,50.83,87.16,50.0,26.66,47.1,59.1,59.1,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
454910,두산로보틱스,unknown,True,,50.83,32.29,50.0,19.85,26.83,41.96,41.96,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
241560,두산밥캣,unknown,True,,50.83,75.17,50.0,23.68,40.37,55.21,55.21,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
267270,HD건설기계,unknown,True,,50.83,66.56,50.0,22.25,31.3,52.48,52.48,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
039030,이오테크닉스,unknown,True,,50.83,22.65,50.0,30.23,53.35,40.11,40.11,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
